x(um),y(um),z(um)
377.771,94.097,55
414.56,113.381,85
455.345,86.714,70
508.679,109.459,68
549.463,82.792,39
602.013,101.616,44
649.856,75.733,21
710.249,93.773,21
340.834,126.714,29
333.775,180.832,44
375.344,202.793,74
420.05,170.636,87
471.031,192.597,90
517.306,158.871,86
569.856,181.617,83
612.993,148.675,70
663.19,175.342,64
718.092,154.95,41
772.995,180.048,22
294.559,214.558,22
291.422,269.461,38
340.049,293.775,58
380.834,260.833,72
431.815,283.578,78
478.09,249.853,85
529.071,271.814,86
575.346,238.088,88
627.111,262.402,86
671.033,230.244,74
721.23,252.99,67
776.916,240.441,39
831.773,266.55,31
251.375,301.845,21
249.806,354.394,39
297.65,378.708,54
344.709,350.473,55
391.768,370.865,69
438.043,340.276,72
488.24,361.453,82
534.515,329.296,82
588.633,351.257,85
633.339,318.315,87
684.32,344.198,85
729.027,309.688,77
779.223,334.002,73
841.185,318.315,59
208.018,390.205,18
211.94,445.892,16
261.352,468.637,33
303.706,437.265,51
354.686,460.794,59
397.04,427.853,66
450.374,452.951,73
494.296,419.225,79
546.845,442.755,83
592.336,407.46,88
644.885,430.99,92
690.376,395.695,92
741.357,421.578,83
787.632,387.852,77
850.377,393.342,69
854.299,450.598,47
270.764,521.971,20
319.392,547.854,34
358.608,518.834,54
408.805,541.579,62
455.08,508.638,72
506.845,532.167,76
553.12,498.442,81
603.316,521.187,83
649.591,485.892,90
701.356,510.206,84
747.631,477.265,78
803.318,485.108,54
329.588,601.188,20
373.51,630.208,36
415.864,599.619,58
466.06,621.58,61
512.335,587.854,69
565.669,609.031,66
610.375,576.874,75
661.356,600.403,69
706.847,564.325,74
755.475,580.795,51
804.103,543.932,32
379.048,685.894,25
430.029,706.287,29
474.735,674.914,43
524.932,686.679,24
571.991,656.09,40
622.972,677.267,26
667.678,651.384,46
717.875,667.855,24
762.581,630.208,25
